,precision,recall,f1-score,support
61124100,0.7928994082840237,0.67,0.7262872628726287,200.0
61130000,0.8721461187214612,0.955,0.9116945107398569,200.0
61143000,0.7215189873417721,0.57,0.6368715083798883,200.0
61151000,0.934010152284264,0.92,0.9269521410579346,200.0
61152200,0.6835443037974683,0.81,0.7414187643020596,200.0
61152900,0.7864077669902912,0.81,0.7980295566502463,200.0
61159500,0.8655913978494624,0.805,0.8341968911917098,200.0
61159600,0.85,0.765,0.8052631578947368,200.0
61161000,0.9174757281553398,0.945,0.9310344827586207,200.0
61169300,0.711340206185567,0.69,0.700507614213198,200.0
61178000,0.8333333333333334,0.8,0.8163265306122449,200.0
62014000,0.6,0.675,0.6352941176470588,200.0
62024000,0.41694915254237286,0.615,0.49696969696969695,200.0
62034210,0.6705882352941176,0.855,0.7516483516483516,200.0
62034290,0.7457627118644068,0.66,0.7002652519893899,200.0
62034300,0.6815642458100558,0.61,0.6437994722955145,200.0
62043300,0.5465116279069767,0.47,0.5053763440860215,200.0
62044200,0.42585551330798477,0.56,0.4838012958963283,200.0
62044300,0.40865384615384615,0.425,0.4166666666666667,200.0
62045300,0.5853658536585366,0.48,0.5274725274725275,200.0
62046210,0.6446700507614214,0.635,0.6397984886649875,200.0
62046290,0.5714285714285714,0.54,0.5552699228791774,200.0
62046310,0.6506849315068494,0.475,0.5491329479768786,200.0
62046900,0.6581196581196581,0.77,0.7096774193548387,200.0
62052000,0.7835820895522388,0.525,0.6287425149700598,200.0
62063000,0.5440414507772021,0.525,0.5343511450381679,200.0
62064000,0.4067796610169492,0.6,0.48484848484848486,200.0
62104000,0.8877005347593583,0.83,0.8578811369509044,200.0
62105000,0.9130434782608695,0.84,0.875,200.0
62113300,0.6898395721925134,0.645,0.6666666666666666,200.0
62114300,0.6944444444444444,0.375,0.487012987012987,200.0
62121020,0.7638888888888888,0.55,0.6395348837209303,200.0
62122000,0.8715596330275229,0.95,0.9090909090909091,200.0
63079090,0.9166666666666666,0.88,0.8979591836734694,200.0
64019200,0.9743589743589743,0.95,0.9620253164556962,200.0
64021900,0.8357487922705314,0.865,0.8501228501228502,200.0
64029190,0.8599033816425121,0.89,0.8746928746928747,200.0
64029910,0.9183673469387755,0.9,0.9090909090909091,200.0
64029990,0.8223350253807107,0.81,0.8161209068010076,200.0
64031900,0.9447236180904522,0.94,0.9423558897243107,200.0
64034000,0.9950248756218906,1.0,0.9975062344139651,200.0
64039990,0.9507389162561576,0.965,0.9578163771712159,200.0
64041100,0.9367816091954023,0.815,0.8716577540106952,200.0
64041900,0.8309178743961353,0.86,0.8452088452088452,200.0
64069000,0.7626459143968871,0.98,0.8577680525164114,200.0
65050000,0.8947368421052632,0.765,0.8247978436657682,200.0
65061000,0.9108910891089109,0.92,0.9154228855721394,200.0
68042100,0.9845360824742269,0.955,0.9695431472081218,200.0
68042210,1.0,0.99,0.9949748743718593,200.0
70071100,0.8932038834951457,0.46,0.6072607260726073,200.0
70072100,0.616580310880829,0.595,0.6055979643765903,200.0
70091000,0.7903225806451613,0.245,0.37404580152671757,200.0
71171920,0.9593908629441624,0.945,0.9521410579345088,200.0
71171990,0.9320388349514563,0.96,0.9458128078817734,200.0
72193300,0.8960396039603961,0.905,0.900497512437811,200.0
72193400,0.8955223880597015,0.9,0.8977556109725686,200.0
72254000,1.0,1.0,1.0,200.0
73043900,0.9534883720930233,0.82,0.8817204301075269,200.0
73065000,1.0,1.0,1.0,200.0
73072100,0.8333333333333334,0.775,0.8031088082901554,200.0
73072300,0.9609756097560975,0.985,0.9728395061728395,200.0
73072900,0.7853107344632768,0.695,0.7374005305039788,200.0
73079100,0.5214285714285715,0.73,0.6083333333333333,200.0
73079200,0.6421052631578947,0.61,0.6256410256410256,200.0
73079900,0.45,0.45,0.45,200.0
73089000,0.91,0.91,0.91,200.0
73121010,0.9375,0.825,0.8776595744680851,200.0
73151100,0.934010152284264,0.92,0.9269521410579346,200.0
73181500,0.6918238993710691,0.55,0.6128133704735376,200.0
73181600,0.8395061728395061,0.34,0.48398576512455516,200.0
73182100,0.5902777777777778,0.425,0.4941860465116279,200.0
73182200,0.6842105263157895,0.39,0.4968152866242038,200.0
73182400,0.5042372881355932,0.595,0.5458715596330275,200.0
73182900,0.5069444444444444,0.365,0.42441860465116277,200.0
