,precision,recall,f1-score,support
83112000,0.9974937343358395,0.995,0.9962453066332916,400.0
84099190,0.6441717791411042,0.2625,0.37300177619893427,400.0
84099990,0.5666666666666667,0.425,0.4857142857142857,400.0
84122100,0.913312693498452,0.7375,0.8160442600276625,400.0
84122900,0.7727272727272727,0.7225,0.7467700258397932,400.0
84123100,0.6772908366533864,0.85,0.753880266075388,400.0
84129000,0.888283378746594,0.815,0.8500651890482399,400.0
84133090,0.5049833887043189,0.38,0.43366619115549215,400.0
84135000,0.8753709198813057,0.7375,0.8005427408412483,400.0
84136000,0.9055374592833876,0.695,0.7864214992927864,400.0
84137000,0.7615571776155717,0.7825,0.7718865598027127,400.0
84138100,0.47191011235955055,0.525,0.4970414201183432,400.0
84139100,0.8568075117370892,0.9125,0.8837772397094431,400.0
84145900,0.47493403693931396,0.45,0.4621309370988447,400.0
84148090,0.6692506459948321,0.6475,0.6581956797966964,400.0
84149000,0.8188976377952756,0.78,0.7989756722151088,400.0
84159000,0.9025974025974026,0.695,0.7853107344632768,400.0
84185000,0.9323671497584541,0.965,0.9484029484029484,400.0
84189900,0.755011135857461,0.8475,0.7985865724381626,400.0
84199090,0.7690355329949239,0.7575,0.7632241813602015,400.0
84212100,0.7589498806682577,0.795,0.7765567765567766,400.0
84212300,0.66189111747851,0.5775,0.616822429906542,400.0
84212990,0.6767955801104972,0.6125,0.6430446194225722,400.0
84213110,0.5633802816901409,0.6,0.5811138014527845,400.0
84213190,0.6775067750677507,0.625,0.6501950585175552,400.0
84213900,0.6132315521628499,0.6025,0.6078184110970997,400.0
84219900,0.88,0.715,0.7889655172413793,400.0
84229000,0.5623836126629422,0.755,0.6446104589114194,400.0
84312000,0.8957816377171216,0.9025,0.8991282689912827,400.0
84313100,0.9629629629629629,0.975,0.968944099378882,400.0
84314320,0.23076923076923078,0.4125,0.29596412556053814,400.0
84314390,0.376425855513308,0.7425,0.49957947855340623,400.0
84314900,0.3612565445026178,0.5175,0.42548818088386436,400.0
84389000,0.8554216867469879,0.8875,0.8711656441717791,400.0
84433110,0.9727047146401985,0.98,0.9763387297633873,400.0
84433120,0.9775,0.9775,0.9775,400.0
84433900,0.9766233766233766,0.94,0.9579617834394905,400.0
84439100,0.847682119205298,0.96,0.9003516998827668,400.0
84439930,0.8620689655172413,0.9375,0.8982035928143712,400.0
84439990,0.8484848484848485,0.84,0.8442211055276382,400.0
84661000,0.8987951807228916,0.9325,0.9153374233128835,400.0
84669300,0.8637602179836512,0.7925,0.8265971316818774,400.0
84672110,0.87468671679198,0.8725,0.8735919899874843,400.0
84672220,0.9512195121951219,0.975,0.9629629629629629,400.0
84672920,0.8632075471698113,0.915,0.8883495145631068,400.0
84672990,0.9476584022038568,0.86,0.9017038007863696,400.0
84679900,0.8364928909952607,0.8825,0.8588807785888077,400.0
84689000,0.9407407407407408,0.9525,0.9465838509316771,400.0
84713040,0.9518072289156626,0.9875,0.9693251533742331,400.0
84715000,0.8498727735368957,0.835,0.8423707440100883,400.0
84716040,0.8369230769230769,0.68,0.7503448275862069,400.0
84716090,0.804177545691906,0.77,0.7867177522349936,400.0
84717000,0.8728606356968215,0.8925,0.8825710754017305,400.0
84718000,0.7482678983833718,0.81,0.7779111644657863,400.0
84733000,0.596529284164859,0.6875,0.6387921022067363,400.0
84749010,0.7955665024630542,0.8075,0.8014888337468983,400.0
84749090,0.5666003976143141,0.7125,0.6312292358803987,400.0
